advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29929085,2,177,2000,1.0,40054,1,2,Orange,2,49.6,2,5,5,113,118,9.8,114,436,13850,
29929092,3,280,2006,2.401,141860,2,3,GREY,6,40.4,2,5,5,180,140,7.9,184,533,2995,inactive on: 18/09/2023
29929121,3,108,2012,1.984,150653,2,2,BLACK,6,62.8,2,5,5,136,127,9.8,119,932,4795,
29929132,22,53,2015,0.998,97142,1,2,SILVER,2,68.9,2,3,4,68,98,14.6,95,530,3895,
29929133,17,40,2012,1.56,134668,2,2,SILVER,6,67.3,2,5,5,113,120,11.1,109,785,3495,
29929184,7,7,2018,0.998,43700,1,2,GREY/BLACK,2,61.4,2,5,5,109,121,10.6,104,500,8995,inactive on: 13/09/2023
29929204,5,157,2016,1.598,60000,2,2,SILVER,1,70.6,2,4,5,118,128,10.8,105,916,10495,
29929213,8,179,2020,2.999,13500,1,3,GREY,5,26.2,3,5,5,429,155,5.3,244,490,74995,
29929215,1,22,2023,1.998,6000,1,3,ORANGE,2,34.5,3,5,5,302,156,4.8,172,379,42995,
29929224,4,33,2018,1.997,27494,1,3,BLACK,6,36.2,3,5,5,296,145,5.7,178,502,39995,
29929226,11,281,2018,2.967,39000,2,3,BLUE,6,32.8,3,5,5,282,144,6.3,178,613,52995,
29929256,8,58,2019,3.982,34213,1,3,BLACK,6,22.1,3,5,5,469,168,4.0,280,321,55495,
29929268,4,4,2018,1.997,36000,1,3,GREY,6,29.1,3,5,7,296,125,7.3,222,576,42995,
29929277,20,67,2019,1.242,35000,1,2,GREY,2,46.3,2,3,4,69,99,12.9,122,356,9290,inactive on: 04/09/2023
29929296,9,70,2019,1.461,46000,2,2,GREY,2,51.4,2,5,5,113,112,11.9,110,622,16290,
29929306,21,111,2010,1.598,60150,2,2,BLUE,6,67.3,2,5,5,105,118,11.0,109,666,5491,inactive on: 18/09/2023
29929307,22,159,2016,1.2,54294,1,2,GREY,2,60.1,2,5,5,110,119,9.9,103,661,8990,inactive on: 10/09/2023
29929324,20,67,2015,1.242,46000,1,2,PINK,2,60.1,2,3,4,69,99,12.9,110,463,6491,
29929329,5,46,2013,1.198,20450,1,2,RED,2,51.4,2,3,5,59,98,16.1,128,509,7491,
29929336,9,169,2016,1.198,39250,1,2,RED,9,60.1,2,5,5,79,106,13.7,109,542,7791,
29929341,20,67,2015,1.242,89739,1,2,WHITE,2,60.1,2,3,4,69,99,12.9,110,463,6000,
29929344,10,14,2016,1.399,80000,1,2,BLACK,2,51.4,2,5,5,123,127,8.6,128,543,7450,
29929354,4,66,2018,2.993,47772,2,3,SILVER,6,40.9,3,5,5,255,130,7.5,182,774,49991,
29929356,1,93,2010,1.995,148203,2,2,BLACK,6,54.3,1,5,5,143,124,9.6,136,729,4000,
29929362,28,92,2019,1.999,18061,2,3,GREY,6,42.2,3,5,5,178,129,8.4,155,557,35222,
